ticker,acquired,deal_year,deal_value_bn,acquirer,deal_status
CA,1,2018.0,18.9,Broadcom,completed
RHT,1,2019.0,34.0,IBM,completed
ATVI,1,2023.0,69.0,Microsoft,completed
XLNX,1,2022.0,49.0,AMD,completed
ADI,1,2021.0,21.0,Maxim (acquirer),completed
SYMC,1,2019.0,10.7,Broadcom (Symc Ent),completed
TWX,1,2018.0,85.0,AT&T,completed
DISH,1,2024.0,,EchoStar/DISH merger,completed
DISCA,1,2022.0,43.0,Warner merger,completed
DPS,1,2018.0,18.7,Keurig Dr Pepper,completed
TIF,1,2021.0,15.8,LVMH,completed
KORS,1,2018.0,,Versace/Capri merger,completed
ANDV,1,2018.0,23.0,Marathon Petroleum,completed
WYN,1,2018.0,,Wyndham split,completed
MGM,1,2022.0,8.5,Amazon/MGM,completed
MON,1,2018.0,63.0,Bayer,completed
RAI,1,2017.0,49.0,BAT,completed
FL,1,2023.0,,Dick's rumoured,rumoured
BBY,1,2023.0,,,rumoured
JWN,1,2023.0,,Family takeover attempt,completed
GPS,1,2023.0,,,rumoured
MAT,1,2017.0,,MGA bid 2017,completed
HBI,1,2024.0,,,rumoured
HOG,1,2023.0,,,rumoured
SIG,1,2023.0,,,rumoured
CELG,1,2019.0,74.0,Bristol-Myers Squibb,completed
AGN,1,2020.0,63.0,AbbVie,completed
ALXN,1,2021.0,39.0,AstraZeneca,completed
MYL,1,2020.0,50.0,Viatris merger,completed
AET,1,2018.0,69.0,CVS Health,completed
ESRX,1,2018.0,67.0,Cigna,completed
VAR,1,2021.0,16.4,Siemens Healthineers,completed
HOLX,1,2023.0,,,rumoured
PRGO,1,2022.0,,,rumoured
DVA,1,2023.0,,,rumoured
BBT,1,2019.0,28.0,BB&T/SunTrust → Truist,completed
STI,1,2019.0,28.0,BB&T merger → Truist,completed
ETFC,1,2020.0,13.0,Morgan Stanley,completed
PBCT,1,2022.0,7.6,M&T Bank,completed
NAVI,1,2023.0,,,rumoured
TMK,1,2019.0,,Rebrand → Globe Life,completed
UNM,1,2023.0,,,rumoured
CMA,1,2023.0,,,rumoured
ZION,1,2023.0,,,rumoured
APC,1,2019.0,55.0,Occidental Petroleum,completed
NBL,1,2020.0,13.0,Chevron,completed
XEC,1,2021.0,17.0,Coterra merger,completed
COG,1,2021.0,17.0,Coterra merger,completed
PXD,1,2023.0,60.0,ExxonMobil,completed
HES,1,2023.0,53.0,Chevron,completed
