ticker,name,sector,market_cap_bn,market_cap_tier
MMM,3M Company,Industrials,138.721055226,Large-cap
AOS,A.O. Smith Corp,Industrials,10.783419933,Large-cap
ABT,Abbott Laboratories,Health Care,102.121042306,Large-cap
ABBV,AbbVie Inc.,Health Care,181.386347059,Large-cap
ACN,Accenture plc,Information Technology,98.765855553,Large-cap
ATVI,Activision Blizzard,Information Technology,52.518668144,Large-cap
AYI,Acuity Brands Inc,Industrials,6.242377704,Mid-cap
ADBE,Adobe Systems Inc,Information Technology,94.550214268,Large-cap
AAP,Advance Auto Parts,Consumer Discretionary,8.123611867,Mid-cap
AMD,Advanced Micro Devices Inc,Information Technology,11.191663795,Large-cap
AES,AES Corp,Utilities,6.920851212,Mid-cap
AET,Aetna Inc,Health Care,59.197016353,Large-cap
AMG,Affiliated Managers Group Inc,Financials,10.442174371,Large-cap
AFL,AFLAC Inc,Financials,33.422948,Large-cap
A,Agilent Technologies Inc,Health Care,21.984606918,Large-cap
APD,Air Products & Chemicals Inc,Materials,34.638387128,Large-cap
AKAM,Akamai Technologies Inc,Information Technology,10.906904066,Large-cap
ALK,Alaska Air Group Inc,Industrials,7.903173734,Mid-cap
ALB,Albemarle Corp,Materials,11.782151266,Large-cap
ARE,Alexandria Real Estate Equities Inc,Real Estate,12.043374429,Large-cap
ALXN,Alexion Pharmaceuticals,Health Care,26.172439795,Large-cap
ALGN,Align Technology,Health Care,18.788041378,Large-cap
ALLE,Allegion,Industrials,7.599609494,Mid-cap
AGN,"Allergan, Plc",Health Care,56.668833898,Large-cap
ADS,Alliance Data Systems,Information Technology,13.632608582,Large-cap
LNT,Alliant Energy Corp,Utilities,8.6701635,Mid-cap
ALL,Allstate Corp,Financials,34.759468905,Large-cap
GOOGL,Alphabet Inc Class A,Information Technology,733.823966137,Mega-cap
GOOG,Alphabet Inc Class C,Information Technology,728.53555814,Mega-cap
MO,Altria Group Inc,Consumer Staples,126.985101434,Large-cap
AMZN,Amazon.com Inc,Consumer Discretionary,685.873374731,Mega-cap
AEE,Ameren Corp,Utilities,12.905744906,Large-cap
AAL,American Airlines Group,Industrials,24.594852352,Large-cap
AEP,American Electric Power,Utilities,31.701916517,Large-cap
AXP,American Express Co,Financials,80.41099,Large-cap
AIG,"American International Group, Inc.",Financials,54.360073164,Large-cap
AMT,American Tower Corp A,Real Estate,59.21389264,Large-cap
AWK,American Water Works Company Inc,Utilities,13.906146184,Large-cap
AMP,Ameriprise Financial,Financials,23.472126,Large-cap
ABC,AmerisourceBergen Corp,Health Care,20.587704101,Large-cap
AME,AMETEK Inc,Industrials,17.139651923,Large-cap
AMGN,Amgen Inc,Health Care,128.13334,Large-cap
APH,Amphenol Corp,Information Technology,26.955335395,Large-cap
APC,Anadarko Petroleum Corp,Energy,32.129091747,Large-cap
ADI,"Analog Devices, Inc.",Information Technology,31.811578855,Large-cap
ANDV,Andeavor,Energy,15.696449735,Large-cap
ANSS,ANSYS,Information Technology,13.155919129,Large-cap
ANTM,Anthem Inc.,Health Care,61.221978627,Large-cap
AON,Aon plc,Financials,35.123123422,Large-cap
APA,Apache Corporation,Energy,15.066280977,Large-cap
AIV,Apartment Investment & Management,Real Estate,6.156884142,Mid-cap
AAPL,Apple Inc.,Information Technology,809.50803402,Mega-cap
